Date,Bike trips,Total distance (m),Total duration (sec),Mean departure temperature (C),Mean return temperature (C),Electric bike trips
2021-07-09,3681,10932918.0,5048642.0,26.790002716653085,26.792447704428145,
2021-07-10,3909,12721821.67,6447453.0,27.10283960092095,26.758761831670505,
2021-07-11,3661,11635156.0,5683249.0,26.99153236820541,26.636438131658018,
2021-07-12,3749,10793679.33,5623607.0,27.077887436649775,27.070952253934383,
2021-07-13,3969,11620329.33,5038477.0,27.383219954648528,27.24313429075334,
2021-07-14,3873,11285254.66,4688666.0,26.52259230570617,26.504260263361736,
2021-07-15,3756,10327838.34,4598311.0,24.1160809371672,24.196485623003195,
2021-07-16,3550,9660978.0,4192759.0,21.025915492957747,21.54056338028169,
2021-07-17,3897,12481123.67,5787262.0,24.46676930972543,24.519630484988454,
2021-07-18,4139,13329762.0,7039149.0,26.48272529596521,26.25054360956753,
2021-07-19,3685,10789828.67,4871215.0,28.12293080054274,28.049932157394846,
2021-07-20,3904,11096020.33,5117857.0,25.777407786885245,25.676997950819672,
2021-07-21,3608,10143294.01,4311936.0,23.113359201773836,23.38109756097561,
2021-07-22,3736,10989973.67,4870751.0,24.90230192719486,24.93281584582441,
2021-07-23,4195,12263137.34,5533112.0,26.405721096543505,26.31108462455304,
2021-07-24,4341,14163473.33,7542663.0,28.159640635798205,27.860631190969823,
2021-07-25,4470,14290299.33,7103468.0,27.73512304250559,27.286800894854586,
2021-07-26,4006,11555428.0,5157204.0,27.684223664503246,27.45681477783325,
2021-07-27,4146,11915397.67,6034266.0,27.305113362276895,27.179691268692714,
2021-07-28,3893,11132678.0,4908085.0,28.051374261494992,27.892370922167995,
2021-07-29,3701,10839899.0,4695132.0,28.424209673061334,28.459605512023778,
2021-07-30,3915,11384702.33,5325557.0,30.557088122605364,30.433461047254152,
2021-07-31,4270,12942879.34,6450399.0,26.69391100702576,26.930210772833725,
2021-08-01,4770,14880708.34,7529460.0,27.99895178197065,27.773165618448637,
2021-08-02,4548,14323417.67,7098783.0,27.96613896218118,27.55255057167986,
2021-08-03,4086,11256218.67,5223520.0,28.158100832109643,28.119921683798335,
2021-08-04,4271,12662854.99,5831665.0,28.590259892296885,28.425427300398034,
2021-08-05,4177,11601025.33,5310857.0,28.366531003112282,28.29518793392387,
2021-08-06,3967,10959785.33,4985625.0,24.373329972271236,24.587849760524325,
2021-08-07,2221,6079823.33,2739795.0,20.374606033318326,20.839261593876632,
2021-08-08,3941,11765940.66,5429366.0,22.829992387718853,22.992387718853085,
2021-08-09,3591,10336318.33,4930358.0,24.722361459203565,24.788638262322472,
2021-08-10,4255,12004749.67,5611422.0,26.32996474735605,26.285076380728555,
2021-08-11,4231,12102602.0,5841233.0,27.887024344126683,27.75986764358308,
2021-08-12,4155,11194304.66,5355001.0,30.085439229843562,30.03826714801444,
2021-08-13,4006,10781363.0,5575473.0,31.121567648527208,30.892910634048928,
2021-08-14,4441,13802872.67,6229190.0,30.23147939653231,30.046160774600317,
2021-08-15,4445,13764018.01,6103763.0,27.610123734533182,27.483914510686166,
2021-08-16,2100,5569162.34,2719404.0,20.037619047619046,20.703333333333333,
2021-08-17,4254,12380650.34,5694181.0,23.00916784203103,23.129290079924775,
2021-08-18,4135,11862779.66,5363282.0,23.481257557436518,23.59951632406288,
2021-08-19,4402,12439408.0,6415232.0,24.892094502498864,24.942980463425716,
2021-08-20,2623,7005427.67,3524185.0,18.807472359893254,19.465878764773162,
2021-08-21,4215,12976572.66,6820136.0,21.78291814946619,21.942111506524316,
2021-08-22,4501,13678209.67,7146022.0,22.71872917129527,22.38258164852255,
2021-08-23,3953,11107304.0,5573084.0,21.152036428029344,21.368833797116114,
2021-08-24,4396,12567570.0,6599952.0,23.976114649681527,23.82916287534122,
2021-08-25,4282,12162342.68,5644686.0,25.15506772536198,25.032227930873425,
2021-08-26,1954,4837423.34,2362131.0,17.59263050153531,18.27584442169908,
2021-08-27,3862,10754675.67,5017006.0,21.84360435007768,21.802433972035214,
2021-08-28,4721,14671124.34,7070363.0,23.54967167972887,23.21033679305232,
2021-08-29,4335,13599316.67,6079179.0,24.58638985005767,24.082583621683966,
2021-08-30,2996,8085915.66,3527660.0,18.774699599465954,19.231642189586115,
2021-08-31,2883,7712267.0,3376196.0,19.23066250433576,19.462712452306626,
2021-09-01,3535,9711300.33,4147215.0,20.77057991513437,20.943422913719942,
2021-09-02,3903,10956301.33,6913476.0,23.349474763002817,23.26671790930054,
2021-09-03,3723,10364332.0,4706099.0,21.840182648401825,22.08514638732205,
2021-09-04,1685,4710385.33,2153749.0,18.929970326409496,19.262314540059347,
2021-09-05,3430,10785309.68,4412002.0,21.27609329446064,21.277842565597666,
2021-09-06,3800,11141959.33,5195522.0,23.780789473684212,23.471842105263157,
2021-09-07,3270,9113517.66,3805550.0,23.804281345565748,23.90703363914373,
2021-09-08,3085,8625727.34,3834156.0,25.089465153970828,25.240842787682332,
2021-09-09,3494,9739866.33,4254392.0,25.92902117916428,25.947624499141384,
2021-09-10,3710,10230907.0,5287550.0,23.320485175202155,23.555525606469004,
2021-09-11,1966,5363614.33,2546297.0,18.447100712105797,18.904883011190233,
2021-09-12,3461,10243858.0,4789409.0,21.59578156602138,21.336318982952903,
2021-09-13,3109,8417644.67,3711599.0,20.199421035702798,20.394017368928917,
2021-09-14,1206,2811174.67,1281616.0,15.628524046434494,16.52238805970149,
2021-09-15,3009,8551035.33,4367416.0,18.980724493187104,19.123629112662012,
2021-09-16,3246,8977863.67,3806743.0,17.95902649414664,18.173752310536045,
2021-09-17,381,856078.0,499158.0,13.503937007874017,14.585301837270341,
2021-09-18,2647,7881760.67,3756471.0,19.162825840574236,19.342274272761617,
2021-09-19,1939,5702404.33,2440630.0,16.159360495100568,16.69932955131511,
2021-09-20,2603,6579616.66,3124242.0,18.186323472915866,18.73376872839032,
2021-09-21,3112,8559313.0,4059654.0,19.039845758354755,19.259640102827763,
2021-09-22,2548,6777903.67,3011939.0,18.9234693877551,19.296703296703296,
2021-09-23,3010,8449857.67,4046316.0,19.687707641196013,19.783388704318938,
2021-09-24,3576,10493692.34,4898065.0,20.69658836689038,20.59228187919463,
2021-09-25,4130,12968319.34,6586930.0,23.613559322033897,23.23946731234867,
2021-09-26,669,1854957.0,1161280.0,15.3796711509716,16.013452914798208,
2021-09-27,1738,4289159.99,1902877.0,15.598388952819333,16.307249712313002,
2021-09-28,2446,6462091.0,3016985.0,17.76165167620605,18.109157808667213,
2021-09-29,866,2006946.66,754722.0,12.721709006928407,13.736720554272518,
2021-09-30,1495,3964170.67,1485268.0,15.080267558528428,15.782608695652174,
2021-10-01,3225,9506899.66,4690980.0,16.69705426356589,16.815193798449613,
2021-10-02,2523,7403250.33,4921469.0,16.257629805786763,16.63812921125644,
2021-10-03,2596,7944574.0,3520520.0,16.831664098613253,16.8251155624037,
2021-10-04,2454,6948227.67,3308162.0,16.201303993480032,16.561532192339037,
2021-10-05,1702,4007719.67,1818785.0,14.652173913043478,15.292596944770859,
2021-10-06,1948,4808415.0,2062088.0,13.510780287474333,14.098049281314168,
2021-10-07,2219,5784851.33,2421086.0,13.287516899504281,13.885534024335286,
2021-10-08,2447,6712913.0,3352170.0,14.032284429914181,14.38291785860237,
2021-10-09,874,2198444.0,1145194.0,12.00228832951945,12.677345537757438,
2021-10-10,2426,7204790.67,3535722.0,15.092333058532564,15.055234954657873,
2021-10-11,2168,6639958.67,3033192.0,13.393450184501845,13.42389298892989,
2021-10-12,1069,2622294.33,1257686.0,9.716557530402245,10.640785781103835,
2021-10-13,1690,4148846.0,1785827.0,10.719526627218935,11.453846153846154,
2021-10-14,1060,2633028.33,1648541.0,10.50377358490566,11.483962264150943,
2021-10-15,458,1067167.0,406817.0,12.79475982532751,13.842794759825328,
2021-10-16,375,908591.0,324334.0,13.738666666666667,14.733333333333333,
2021-10-17,668,1667979.0,667908.0,12.79940119760479,13.468562874251496,
2021-10-18,2040,5551880.33,2224209.0,12.673039215686275,13.347549019607843,
2021-10-19,2423,6782529.32,3238935.0,14.233594717292613,14.692117210070162,
2021-10-20,982,2344324.33,1587753.0,13.469450101832994,14.437881873727088,
2021-10-21,1556,3789210.0,1665475.0,16.60025706940874,17.55719794344473,
2021-10-22,1365,3423914.33,2913466.0,13.566300366300366,14.271794871794873,
2021-10-23,1068,2721515.67,1881586.0,11.925093632958802,12.621722846441948,
2021-10-24,884,2247101.0,992049.0,12.807692307692308,13.531674208144796,
2021-10-25,989,2252995.33,924205.0,12.409504550050556,13.256825075834175,
2021-10-26,1009,2268298.0,1081215.0,11.898909811694747,12.866204162537166,
2021-10-27,1929,4864166.67,2374346.0,13.651632970451011,14.34473820632452,
2021-10-28,837,1830132.34,929415.0,9.872162485065711,11.01194743130227,
2021-10-29,2215,5792456.67,3073009.0,12.30880361173815,12.785101580135441,
2021-10-30,2028,5962839.66,2863340.0,11.836785009861932,11.974358974358974,
2021-10-31,1664,4861011.0,2119429.0,11.873197115384615,11.91826923076923,
2021-11-01,1151,2790339.0,1402121.0,10.026933101650739,10.918331885317116,
2021-11-02,1043,2663646.0,1305810.0,11.960690316395015,12.889741131351869,
2021-11-03,863,1875986.67,673621.0,13.045191193511009,14.13441483198146,
2021-11-04,1054,2318452.66,908225.0,13.528462998102468,14.375711574952561,
2021-11-05,1394,3520781.0,1369360.0,11.467718794835006,12.242467718794835,
2021-11-06,817,1988876.0,816066.0,8.834761321909424,9.636474908200734,
2021-11-07,601,1358558.0,565630.0,8.402662229617304,9.133111480865225,
2021-11-08,1480,3816878.67,1511993.0,10.545945945945945,11.364189189189188,
2021-11-09,1077,2469472.34,942036.0,9.220055710306406,10.34447539461467,
2021-11-10,1637,4057927.01,1571219.0,9.905314599877824,10.689065363469762,
2021-11-11,804,2201050.67,877294.0,11.042288557213931,11.730099502487562,
2021-11-12,1408,3677412.33,1645344.0,12.512784090909092,13.307528409090908,
2021-11-13,805,2356979.67,1157631.0,10.02360248447205,10.771428571428572,
2021-11-14,221,530998.0,194236.0,10.800904977375566,11.65158371040724,
2021-11-15,701,1526145.0,614571.0,9.686162624821684,10.703281027104136,
2021-11-16,1705,4338185.0,1930261.0,8.894428152492669,9.53724340175953,
2021-11-17,1401,3112408.67,1174478.0,7.436830835117773,8.274089935760172,
2021-11-18,811,1789479.67,1861450.0,6.647348951911221,7.617755856966708,
2021-11-19,1542,3844924.33,2077473.0,7.522049286640726,8.407263294422828,
2021-11-20,1337,3464250.33,1492902.0,8.663425579655947,9.37247569184742,
2021-11-21,1388,3753346.67,1587855.0,10.480547550432277,10.745677233429396,
2021-11-22,912,1981170.0,772565.0,8.744517543859649,9.731359649122806,
2021-11-23,1435,3464100.33,1359427.0,9.962369337979094,10.694076655052266,
2021-11-24,1038,2290250.33,931129.0,8.109826589595375,9.221579961464354,
2021-11-25,432,932256.0,375206.0,8.064814814814815,9.00462962962963,
2021-11-26,1556,4024329.67,1739928.0,10.809125964010283,11.355398457583547,
2021-11-27,342,788936.0,352087.0,10.543859649122806,11.37719298245614,
2021-11-28,555,1196644.0,499913.0,12.94954954954955,13.708108108108108,
2021-11-29,1300,3007122.0,1446255.0,13.036153846153846,13.913846153846153,
2021-11-30,502,1070977.33,449462.0,11.862549800796813,12.840637450199203,
2021-12-01,1107,2468398.0,971480.0,,,
2021-12-02,1488,3300629.67,1366311.0,,,
2021-12-03,1415,3355321.66,2057060.0,,,
2021-12-04,975,2478163.0,1073864.0,,,
2021-12-05,889,2240177.33,3067951.0,,,
2021-12-06,657,1304866.67,477851.0,,,
2021-12-07,741,1689050.67,602501.0,,,
2021-12-08,1416,3299876.67,1861277.0,,,
2021-12-09,1183,2702281.33,1072952.0,,,
2021-12-10,604,1326914.0,503845.0,,,
2021-12-11,830,2094668.0,936575.0,,,
2021-12-12,508,1178238.0,437114.0,,,
2021-12-13,830,2016995.0,805067.0,,,
2021-12-14,900,2059016.33,974839.0,,,
2021-12-15,1047,2289206.0,1131969.0,,,
2021-12-16,1079,2388141.0,949278.0,,,
2021-12-17,738,1582413.67,703582.0,,,
2021-12-18,566,1243983.0,537717.0,,,
2021-12-19,928,2500966.67,1137499.0,,,
