Date,day_length,min_temp,max_temp,mean_temp,temp_diff,hdd,cdd,rain,snow,total_precip,snow_on_ground,max_gust,mean_dep_temp,mean_ret_temp,mean_ride_temp,total_dist,total_duration,ebike_trips,num_trips,adj_num_trips,temp_residuals
2017-04-19,839.2166666666667,7.5,12.8,10.2,5.300000000000001,7.8,0.0,0.8,0.0,0.8,0.0,17.0,13.886925795053005,15.032685512367491,14.459805653710248,2506833.0,899929.0,0.0,1132,2398.5239762139227,-750.826657589035
2017-04-20,842.2333333333333,8.5,13.2,10.9,4.699999999999999,7.1,0.0,3.6,0.0,3.6,0.0,2.0,15.490514905149052,15.934959349593496,15.712737127371271,3850503.0,2282699.0,0.0,1476,2741.608207428915,-467.59068054741056
2017-04-21,846.2333333333333,6.5,14.1,10.3,7.6,7.7,0.0,0.0,0.0,0.0,0.0,1.0,17.665132924335378,17.814928425357873,17.740030674846626,5763750.0,2742728.0,0.0,1956,3220.692438643908,-124.30973220375563
2017-04-22,849.2333333333333,7.3,13.8,10.6,6.500000000000001,7.4,0.0,5.8,0.0,5.8,0.0,15.0,14.237951807228916,15.088855421686748,14.663403614457833,1733047.0,768477.0,0.0,664,1927.7766698589007,-1370.736714984974
2017-04-23,853.2333333333333,8.6,13.45,10.45,4.85,7.550000000000001,0.0,0.0,0.0,0.0,0.0,0.0,14.743228602383532,15.462621885157096,15.102925243770317,2417567.0,1047365.0,0.0,923,2185.8609010738937,-1058.5681948963952
2017-04-24,856.2333333333333,7.4,13.1,10.3,5.699999999999999,7.7,0.0,5.0,0.0,5.0,0.0,1.0,15.510148849797025,15.949932341001354,15.730040595399188,3887099.0,1763860.0,0.0,1478,2739.9451322888863,-450.3996748078166
2017-04-25,859.2333333333333,8.4,13.8,11.1,5.4,6.9,0.0,1.4,0.0,1.4,0.0,13.0,14.865873015873015,15.867460317460315,15.366666666666664,2998135.0,1252483.0,0.0,1260,2521.029363503879,-774.736714984974
2017-04-26,863.2333333333333,8.0,14.9,11.5,6.9,6.5,0.0,2.8,0.0,2.8,0.0,17.0,15.990531682447196,16.52949745083758,16.26001456664239,3534567.0,1637257.0,0.0,1373,2633.113594718872,-828.8377781205072
2017-04-27,866.2333333333333,8.4,12.5,10.5,4.1,7.5,0.0,0.0,0.0,0.0,0.0,15.0,15.198757763975156,15.814906832298137,15.506832298136649,4152487.0,1691517.0,0.0,1610,2869.197825933865,-227.25364037025338
2017-04-28,869.2333333333333,5.3,13.9,9.6,8.600000000000001,8.4,0.0,0.0,0.0,0.0,0.0,1.0,16.212619300106045,16.5424178154825,16.377518557794275,5186909.0,2173052.0,0.0,1886,3144.2820571488573,-163.92772072456773
2017-04-29,873.2333333333333,7.7,10.2,9.0,2.499999999999999,9.0,0.0,6.2,0.0,6.2,0.0,4.0,11.53358208955224,12.5,12.01679104477612,1166444.0,483144.0,0.0,536,1793.3662883638501,-951.8605083595933
2017-04-30,876.2333333333333,5.9,13.9,9.9,8.0,8.1,0.0,0.0,0.0,0.0,0.0,4.0,18.17004578155657,18.13734466971877,18.15369522563767,5081481.0,2144447.0,0.0,1529,2785.450519578843,-520.9277207245677
2017-05-01,879.2333333333333,6.5,11.4,9.0,4.9,9.0,0.0,1.4,0.0,1.4,0.0,0.0,11.884381338742394,12.939148073022311,12.411764705882351,2287868.0,945910.0,0.0,986,2241.534750793836,-684.1525772347204
2017-05-02,882.2333333333333,3.8,14.4,9.1,10.6,8.9,0.0,0.6,0.0,0.6,0.0,0.0,16.753939393939394,17.333939393939392,17.043939393939393,4296611.0,1792525.0,0.0,1650,2904.6189820088284,-475.8827494225379
2017-05-03,885.2333333333333,11.0,15.4,13.2,4.4,4.8,0.0,28.2,0.0,28.2,0.0,0.0,15.242085661080074,16.39851024208566,15.820297951582866,1118349.0,348468.0,0.0,537,1790.7032132238212,-1740.7928068184765
2017-05-04,889.2333333333333,9.3,19.6,14.5,10.3,3.5,0.0,0.2,0.0,0.2,0.0,0.0,22.022900763358777,22.22391857506361,22.123409669211192,5682131.0,2760148.0,0.0,1965,3217.787444438814,-950.8150478814205
2017-05-05,892.2333333333333,9.8,16.4,13.1,6.599999999999998,4.9,0.0,0.8,0.0,0.8,0.0,13.0,15.95190069821567,16.74709076803724,16.349495733126453,3028925.0,1230776.0,0.0,1289,2540.871675653807,-1140.702864214415
2017-05-06,895.2333333333333,8.4,13.2,10.8,4.799999999999999,7.2,0.0,0.0,0.0,0.0,0.0,10.0,17.695038910505836,17.620136186770427,17.657587548638134,6260333.0,3106076.0,0.0,2056,3306.9559068687995,112.40931945258944
2017-05-07,898.2333333333333,4.4,13.3,8.9,8.9,9.1,0.0,0.0,0.0,0.0,0.0,8.0,18.053116531165312,18.10677506775068,18.079945799457995,5900401.0,2604749.0,0.0,1845,3095.040138083792,-113.78168628700473
2017-05-08,901.25,8.7,14.9,11.8,6.200000000000001,6.2,0.0,0.0,0.0,0.0,0.0,4.0,17.516880093131547,17.940046565774157,17.72846332945285,4394706.0,1963486.0,0.0,1718,2967.124369298785,-483.8377781205072
2017-05-09,904.25,5.7,15.2,10.5,9.5,7.5,0.0,0.0,0.0,0.0,0.0,4.0,17.733762434172032,18.479227618490345,18.10649502633119,4183541.0,2289440.0,0.0,1709,2957.2086005137776,-538.4107953392886
