Date,day_length,min_temp,max_temp,mean_temp,temp_diff,hdd,cdd,rain,snow,total_precip,snow_on_ground,max_gust,mean_dep_temp,mean_ret_temp,mean_ride_temp,total_dist,total_duration,ebike_trips,num_trips,adj_num_trips,trend_val
2022-06-11,970.2666666666668,11.8,19.9,15.9,8.099999999999998,2.1,0.0,0.2,0.0,0.2,0.0,0.0,22.300609184629803,22.221180880974696,22.26089503280225,13449402.01,6270274.0,0.0,4268,2949.872079314817,1.4468424003631208
2022-06-12,971.2666666666668,12.2,16.9,14.6,4.699999999999999,3.4,0.0,4.5,0.0,4.5,0.0,3.0,20.652727776239267,20.584325671559125,20.6185267238992,11077966.0,5363172.0,0.0,3611,2493.8505453882753,1.447961669827248
2022-06-13,972.2666666666668,12.5,16.9,14.7,4.399999999999999,3.3,0.0,0.0,0.0,0.0,0.0,17.0,20.756725815684028,20.95306239267316,20.854894104178594,9383369.66,4424304.0,0.0,3494,2411.183464816412,1.4490809392913755
2022-06-14,973.2666666666668,11.7,17.8,14.8,6.100000000000001,3.2,0.0,0.0,0.0,0.0,0.0,18.0,20.7406462585034,20.98270975056689,20.861678004535143,9623765.34,4402567.0,0.0,3528,2432.767543888007,1.450200208755503
2022-06-15,973.2666666666668,11.9,15.7,13.8,3.799999999999999,4.2,0.0,0.6,0.0,0.6,0.0,0.0,17.48650892486509,18.03943545039436,17.762972187629725,6056045.0,2331546.0,0.0,2409,1659.8688546199219,1.4513194782196301
2022-06-16,974.2666666666668,11.8,18.2,15.0,6.399999999999999,3.0,0.0,0.6,0.0,0.6,0.0,0.0,19.04034833091437,19.35761973875181,19.19898403483309,9635727.0,4401415.0,0.0,3445,2371.8728280237856,1.4524387476837577
2022-06-17,974.2666666666668,10.1,18.3,14.2,8.200000000000001,3.8,0.0,0.4,0.0,0.4,0.0,13.0,21.423105406072576,21.515921994569243,21.46951370032091,11308922.67,4875914.0,0.0,4051,2786.954460853729,1.4535580171478852
2022-06-18,974.2666666666668,11.7,18.6,15.2,6.900000000000002,2.8,0.0,4.5,0.0,4.5,0.0,0.0,18.728233034571065,19.1354033290653,18.931818181818183,8789728.33,4095414.0,0.0,3124,2147.5553572956997,1.4546772866120128
2022-06-19,974.2666666666668,12.2,18.3,15.3,6.100000000000001,2.7,0.0,0.0,0.0,0.0,0.0,0.0,18.76712740384616,19.11598557692308,18.94155649038462,9603118.34,4400448.0,0.0,3328,2286.0337085630126,1.45579655607614
2022-06-20,974.2666666666668,10.9,19.4,15.2,8.499999999999998,2.8,0.0,0.0,0.0,0.0,0.0,6.0,20.64478343775538,21.04412966494144,20.844456551348408,10728473.01,5423764.0,0.0,3671,2519.7063108561433,1.4569158255402674
2022-06-21,974.2666666666668,13.2,18.1,15.7,4.900000000000002,2.3,0.0,0.2,0.0,0.2,0.0,5.0,18.88991806198789,19.667260420377627,19.27858924118276,6856898.33,3194159.0,0.0,2807,1925.1937142099716,1.458035095004395
2022-06-22,974.2666666666668,13.0,18.6,15.8,5.600000000000001,2.2,0.0,0.0,0.0,0.0,0.0,13.0,22.027679024885728,22.21203656678517,22.11985779583545,11152283.0,4778282.0,0.0,3938,2698.823439036462,1.459154364468522
2022-06-23,974.2666666666668,11.0,18.1,14.6,7.100000000000001,3.4,0.0,0.0,0.0,0.0,0.0,23.0,20.99482376140005,21.13901897954153,21.066921370470787,11416994.33,5464823.0,0.0,4057,2778.246422948917,1.4602736339326496
2022-06-24,974.2666666666668,6.6,20.6,13.6,14.000000000000002,4.4,0.0,0.0,0.0,0.0,0.0,0.0,24.11571458464114,24.17974471646788,24.14772965055451,13834624.33,6844301.0,0.0,4779,3270.167789163317,1.4613929033967772
2022-06-25,974.2666666666668,10.3,22.9,16.6,12.599999999999998,1.4,0.0,0.0,0.0,0.0,0.0,0.0,28.198201720093824,27.86239249413604,28.030297107114933,16551177.66,8048773.0,0.0,5116,3498.0905423797585,1.4625121728609043
2022-06-26,973.2666666666668,13.0,23.8,18.4,10.8,0.0,0.4,0.0,0.0,0.0,0.0,1.0,29.16553767993226,28.8082133784928,28.98687552921253,15218216.66,7397950.0,0.0,4724,3227.5884921519273,1.4636314423250318
2022-06-27,973.2666666666668,14.1,26.2,20.2,12.1,0.0,2.2,0.0,0.0,0.0,0.0,0.0,28.95900137425561,28.980760421438383,28.969880897847,12434300.0,5793454.0,0.0,4366,2980.7119838617664,1.4647507117891594
2022-06-28,972.2666666666668,14.1,21.2,17.7,7.1,0.3,0.0,1.3,0.0,1.3,0.0,5.0,19.72934669892845,20.44763221569305,20.08848945731075,7315724.0,3386070.0,0.0,2893,1973.5720336714644,1.4658699812532865
2022-06-29,971.2666666666668,13.3,21.2,17.3,7.899999999999999,0.7,0.0,0.0,0.0,0.0,0.0,2.0,20.069116840373013,20.654690071311027,20.36190345584201,9947729.0,4272708.0,0.0,3646,2485.3624511679045,1.466989250717414
2022-06-30,970.2666666666668,11.9,21.3,16.6,9.4,1.4,0.0,0.0,0.0,0.0,0.0,0.0,24.33671357615894,24.499793046357617,24.41825331125828,13854283.0,6254899.0,0.0,4832,3291.309827288851,1.4681085201815416
